command,mean,stddev,median,user,system,min,max
bin/client20-init 127.0.0.1 4:JBSWY3DPEHPK3PXP,0.014493113242485879,0.0003510007346745247,0.01459128196,0.007500234124293783,0.006974082937853105,0.013607478960000002,0.015045431960000001
bin/client20-auth 127.0.0.1 4,0.11547804600000001,0.0008595561650528568,0.11534179896,0.08921004,0.035040720000000004,0.11405582696000001,0.11739046596000001
bin/client40-init 127.0.0.1 4:JBSWY3DPEHPK3PXP,0.014827203418563542,0.00046768460192275936,0.01499703196,0.009338339447513808,0.005474787845303866,0.01417607996,0.015895732960000002
bin/client40-auth 127.0.0.1 4,0.12378298243826089,0.0011040098620147011,0.12370135596000001,0.09167587478260868,0.041558099130434775,0.12185605196,0.12740857596000002
bin/client60-init 127.0.0.1 4:JBSWY3DPEHPK3PXP,0.014636766948888899,0.0004171868718455683,0.014435152460000001,0.010699820888888894,0.003977749333333332,0.014159749960000002,0.01581191896
bin/client60-auth 127.0.0.1 4,0.1315694070509091,0.0017403247011109027,0.13139642496,0.0992092127272727,0.04258426909090909,0.12983680196,0.13868777396
bin/client80-init 127.0.0.1 4:JBSWY3DPEHPK3PXP,0.01571399560670659,0.0002187096660049869,0.01573535896,0.009096565748502995,0.006549769101796409,0.014946098960000001,0.01665986196
bin/client80-auth 127.0.0.1 4,0.14069837615047623,0.003023784912150361,0.14009278696000002,0.10661744,0.043972645714285705,0.13810397096000002,0.14939856796
bin/client100-init 127.0.0.1 4:JBSWY3DPEHPK3PXP,0.0156744857397619,0.00021726162379147424,0.01568808696,0.008984557142857149,0.006653050238095239,0.014783775960000002,0.01622044996
bin/client100-auth 127.0.0.1 4,0.14831866651000006,0.003289990476946025,0.14738903546,0.11277904000000001,0.048113260000000005,0.14515415896,0.15910388796000002
